Aircraft,Engine,Role,Registration,Seats,Cargo Capacity (t),Flight Number,Date,Take-off Time (UTC),Origin Airport,Destination Airport,Distance OD (km),Distance Flown (km),CO2 (kgCO2e)
A320,CFM56-5B4/3,PAX,EC-LVU,180,0,VY7821,2025-01-29,2025-01-29 20:51:44.000,EGKK,LEBL,1109.05391701095,1248.89910000305,14932.1631570181
A321,V2533-A5,PAX,EC-MMH,220,0,VY8004,2025-01-15,2025-01-15 08:28:51.000,LEBL,LFPO,826.096111830294,980.330196973141,14358.1373118512
A320,CFM56-5B6/3,PAX,EC-KLT,180,0,Unknown,2025-01-04,2025-01-04 09:23:34.000,LEBL,LEPA,201.966881210933,233.969994892729,4874.33653315223
A320,CFM56-5B4/3,PAX,EC-KRH,180,0,VY2611,2025-01-20,2025-01-20 18:14:04.084,LEBB,LEMG,749.082899877611,883.669911022453,11530.7634877924
A320,V2527-A5,PAX,EC-MEQ,186,0,Unknown,2025-01-07,2025-01-07 05:46:35.000,LEBL,EBBR,1083.78301664229,1300.56109994152,15415.6108257406
A320,V2527-A5,PAX,EC-MGE,186,0,VY8257,2025-01-08,2025-01-08 18:11:47.752,LEAL,LFPG,1218.83107559864,1390.90398307849,16261.6442460049
A20N,PW1127G-JM,PAX,EC-NAX,186,0,VY8258,2025-01-10,2025-01-10 09:55:44.803,LFPG,LEAL,1218.83107559864,1266.53263750457,12045.054982752
A320,CFM56-5B4/3,PAX,EC-KLB,180,0,VY8152,2025-01-30,2025-01-30 06:21:45.199,LEVC,LFPO,1051.67387400702,1176.44337895766,14258.7896184405
A320,V2527-A5,PAX,EC-MNZ,186,0,VY3904,2025-01-21,2025-01-21 07:16:24.000,LEBL,LEPA,201.966881210933,246.607649119478,5028.84728704321
A321,V2533-A5,PAX,EC-MPV,220,0,VY8577,2025-01-20,2025-01-20 19:23:52.481,LIPE,LFPO,823.575488901627,869.105090468727,13106.4703194998
A320,V2527-A5,PAX,EC-MXG,186,0,Unknown,2025-01-09,2025-01-09 06:16:23.000,LEBL,LEGR,680.136814550994,748.02582830235,10270.3463514803
A20N,PW1127G-JM,PAX,EC-NCT,186,0,VY3224,2025-01-20,2025-01-20 09:21:22.000,GCXO,LEST,1753.26767736215,1818.90628695575,15974.112886166
A320,CFM56-5B6/3,PAX,EC-KLT,180,0,VY1305,2025-01-24,2025-01-24 11:19:47.000,LEAL,LEBL,403.853106187054,505.904848988047,8008.50190138598
A320,V2527-A5,PAX,EC-MNZ,186,0,VY2218,2025-01-09,2025-01-09 15:59:43.000,LEBL,LEZL,809.278244789906,831.632580625836,11047.3158190699
A320,CFM56-5B4/3,PAX,EC-LVU,180,0,VY7844,2025-01-24,2025-01-24 21:50:03.000,LEBL,LLBG,3081.68133417658,3107.97153970316,33005.2109301782
A320,V2527-A5,PAX,EC-MBS,180,0,VY3695,2025-01-20,2025-01-20 17:10:40.000,LEVC,LEIB,173.935053871583,173.92185631955,4168.00165822201
A320,CFM56-5B4/3,PAX,EC-LVU,180,0,VY3176,2025-01-03,2025-01-03 06:03:10.000,LEBL,LFPO,826.096111830294,1005.74397575962,12670.3187069239
A320,V2527-A5,PAX,EC-MFL,180,0,VY2474,2025-01-28,2025-01-28 18:59:19.000,LEBL,GCRR,1974.12624234143,2065.58776782501,22671.6401930251
A20N,PW1127G-JM,PAX,EC-NCF,186,0,Unknown,2025-01-04,2025-01-04 08:53:38.000,LSGG,LEBL,637.446825918873,702.089574548651,8023.70377288196
A320,V2527-A5,PAX,EC-MJB,186,0,VY1674,2025-01-17,2025-01-17 06:04:11.733,LEST,LEBL,883.252270454504,970.779760102866,12342.2649317193
A320,V2527-A5,PAX,EC-MJC,186,0,Unknown,2025-01-14,2025-01-14 06:19:43.000,LIRF,LEBL,847.967830209805,893.065831641246,11617.0934286357
A321,CFM56-5B3/3,PAX,EC-NLY,220,0,VY2114,2025-01-11,2025-01-11 09:50:18.000,LEMG,LEBL,765.966389686389,873.456039785798,13169.0536691174
A321,CFM56-5B3/3,PAX,EC-NLV,220,0,VY3522,2025-01-17,2025-01-17 19:48:14.000,LEBL,LEIB,276.154086473508,290.581188219246,6597.80195927257
A320,V2527-A5,PAX,EC-MVE,186,0,VY3969,2025-01-16,2025-01-16 12:35:26.000,LEVC,LEBB,469.734306240243,548.008573218184,8405.61962926513
A321,V2533-A5,PAX,EC-MHS,220,0,Unknown,2025-01-01,2025-01-01 09:40:17.000,LFPO,LEBL,826.096111830294,863.722957383196,13043.8869698822
A20N,PW1127G-JM,PAX,EC-NDC,186,0,VY2473,2025-01-26,2025-01-26 07:09:27.000,GCRR,LEBL,1974.12624234143,2060.54912872283,17933.9570994148
A320,CFM56-5B4/P,PAX,EC-KDH,180,0,Unknown,2025-01-09,2025-01-09 06:21:53.000,LEBL,LKPR,1358.02887318779,1515.81031929168,17418.465453305
A320,CFM56-5B4/3,PAX,EC-MBY,180,0,VY1814,2025-01-07,2025-01-07 09:48:08.000,GCTS,EKCH,3849.30484633218,3982.73967588129,41686.8787075733
A320,V2527-A5,PAX,EC-LUN,180,0,Unknown,2025-01-08,2025-01-08 11:25:46.000,LEBL,EDDS,994.655986649512,1190.89235114323,14396.9175237897
A320,V2527-A5,PAX,EC-LRY,180,0,VY3154,2025-01-13,2025-01-13 11:30:25.000,LEJR,LEPA,829.857043717647,933.156003590102,11996.9451683462
A320,V2527-A5,PAX,EC-MNZ,186,0,VY6523,2025-01-15,2025-01-15 20:44:33.034,LIPE,LEBL,831.320225200709,911.803734785943,11789.7533103223
A320,V2527-A5,PAX,EC-MYC,186,0,VY3015,2025-01-18,2025-01-18 14:54:51.000,GCFV,LEBL,2031.892145754,2130.09524336133,23314.0468995976
A321,V2533-A5,PAX,EC-MMH,220,0,Unknown,2025-01-04,2025-01-04 08:16:47.000,LEBL,LFPO,826.096111830294,1023.84868964545,14858.8041087918
A321,V2533-A5,PAX,EC-MLD,220,0,VY6944,2025-01-16,2025-01-16 17:55:39.000,LFPO,EGKK,326.330016696913,391.030824919622,7724.30225238882
A320,CFM56-5B6/P,PAX,EC-KDX,180,0,VY6614,2025-01-24,2025-01-24 05:54:13.000,LEMG,EGKK,1645.20599780453,1724.7110459337,19369.5221163635
A20N,PW1127G-JM,PAX,EC-NAY,186,0,VY8364,2025-01-20,2025-01-20 06:36:13.000,EHAM,LEMG,1883.65730733776,1953.11775607181,17049.83252465
A320,V2527-A5,PAX,EC-MFM,180,0,Unknown,2025-01-01,2025-01-01 21:46:50.000,LEBL,LEMG,765.966389686389,855.841128767425,11271.7736652625
A320,V2527-A5,PAX,EC-LVS,180,0,VY3981,2025-01-03,2025-01-03 17:10:46.544,LEST,LEPA,1003.24896541711,1054.99689490727,13136.5003874776
A320,V2527-A5,PAX,EC-LVS,180,0,VY8829,2025-01-07,2025-01-07 15:41:50.979,LFPG,LEZL,1457.44513131221,1499.14886347042,17263.0715597871
A320,V2527-A5,PAX,EC-LVV,180,0,VY6535,2025-01-16,2025-01-16 15:40:36.570,LICC,LEBL,1193.2691218908,1241.91920841685,14880.3651925122
A320,CFM56-5B4/3,PAX,EC-MAH,180,0,VY1421,2025-01-30,2025-01-30 08:25:27.986,LEBB,LEBL,466.810876844104,508.109336129824,8025.76788955464
A320,V2527-A5,PAX,EC-MJC,186,0,VY3047,2025-01-21,2025-01-21 19:16:04.000,GCLP,LEZL,1377.53807238458,1434.74092520855,16676.0279620527
A20N,PW1127G-JM,PAX,EC-NAV,186,0,VY7820,2025-01-20,2025-01-20 18:08:28.000,LEBL,EGKK,1109.05391701095,1276.02827629258,12110.9787730777
A320,CFM56-5B4/3,PAX,EC-MAO,180,0,VY1513,2025-01-27,2025-01-27 21:17:15.000,HECA,LEBL,2906.07000660039,2962.174730439,31555.2072210573
A20N,PW1127G-JM,PAX,EC-NCT,186,0,VY3212,2025-01-06,2025-01-06 11:11:11.000,LEBL,GCXO,2194.50285278083,2267.9672884181,19641.2321403397
A320,CFM56-5B4/P,PAX,EC-JGM,180,0,Unknown,2025-01-02,2025-01-02 07:16:53.000,GCXO,LEBB,2038.49014130735,2163.16601120228,23644.4274915493
A320,CFM56-5B4/3,PAX,EC-LVU,180,0,VY3149,2025-01-16,2025-01-16 09:55:06.000,LEPA,LEMG,709.125207659389,726.933330720573,10080.420481625
A320,CFM56-5B4/3,PAX,EC-LOC,180,0,VY8152,2025-01-28,2025-01-28 06:28:39.552,LEVC,LFPO,1051.67387400702,1107.63323773803,13619.9480562001
A320,V2527-A5,PAX,EC-MFL,180,0,Unknown,2025-01-03,2025-01-03 14:01:36.000,LEBL,LEIB,276.154086473508,301.82768189882,5691.03623229029
A20N,PW1127G-JM,PAX,EC-NAY,186,0,VY2489,2025-01-03,2025-01-03 09:27:18.000,LEBL,EHAM,1241.13624420465,1400.39835580352,12994.3575634426
A319,CFM56-5B6/P,PAX,EC-NGB,144,0,VY6005,2025-01-30,2025-01-30 18:22:41.000,LEBL,LIRQ,797.550698519998,912.655155659295,10959.0228118042
A20N,PW1127G-JM,PAX,EC-NDC,186,0,VY3934,2025-01-15,2025-01-15 06:15:51.945,LEAL,LEPA,318.229663912386,424.80244505538,5761.74132884803
A321,CFM56-5B3/3,PAX,EC-NLV,220,0,VY1883,2025-01-14,2025-01-14 20:39:26.000,EDDB,LEBL,1502.4124826683,1548.76104491289,20781.0811249908
A321,V2533-A5,PAX,EC-MQL,220,0,VY8612,2025-01-26,2025-01-26 06:17:24.000,LFPO,LMML,1738.03031557609,1858.45124387178,24309.8590790151
A321,V2533-A5,PAX,EC-MHA,220,0,VY9435,2025-01-11,2025-01-11 19:47:37.000,LIMC,LFPO,590.038329664742,654.96268581934,10707.441917493
A321,V2533-A5,PAX,EC-MGZ,220,0,VY1884,2025-01-26,2025-01-26 06:24:34.000,LEBL,EDDB,1502.4124826683,1723.28701030663,22788.4697814717
A20N,PW1127G-JM,PAX,EC-NCG,186,0,VY3185,2025-01-10,2025-01-10 12:04:14.133,LFPG,GCLP,2800.87936879201,2908.23642297277,24900.2490074746
A320,V2527-A5,PAX,EC-MDZ,180,0,Unknown,2025-01-06,2025-01-06 20:25:04.000,LFPO,LIRF,1088.66599055063,1136.4769074977,13896.2038668986
A320,CFM56-5B4/3,PAX,EC-MAN,180,0,VY1570,2025-01-23,2025-01-23 06:51:05.000,LEBL,LEAS,711.581892786537,719.959023147542,10011.3565289504
A20N,PW1127G-JM,PAX,EC-NIX,186,0,VY6019,2025-01-23,2025-01-23 09:55:48.000,LECO,EGKK,1067.85633119017,1122.72123863453,11016.6438536705
A320,CFM56-5B4/3,PAX,EC-LOC,180,0,VY7477,2025-01-03,2025-01-03 14:21:02.597,DAAG,LEBL,521.17008545787,628.619989811754,9148.05712051746
A320,CFM56-5B4/3,PAX,EC-KRH,180,0,Unknown,2025-01-08,2025-01-08 06:08:30.735,LEVC,EHAM,1481.11398845693,1616.90214913267,18368.0948025812
A320,V2527-A5,PAX,EC-LUN,180,0,Unknown,2025-01-07,2025-01-07 09:25:17.673,LEMR,LEBL,691.364672534835,758.68047985723,10373.9422804922
A320,CFM56-5B4/3,PAX,EC-KRH,180,0,VY3292,2025-01-23,2025-01-23 06:16:21.597,LEBB,EKCH,1764.11317068402,1842.30103883126,20474.5453591576
A320,CFM56-5B4/3,PAX,EC-MBL,180,0,VY8247,2025-01-28,2025-01-28 21:06:02.000,LFPG,LEBL,858.738011503702,954.066897757916,12186.8710382014
A321,CFM56-5B3/3,PAX,EC-NLV,220,0,VY1820,2025-01-05,2025-01-05 11:05:28.000,LEBL,EDDH,1492.56367670585,1766.74066928,23274.4691404092
A319,CFM56-5B6/P,PAX,EC-NGB,144,0,VY6002,2025-01-18,2025-01-18 08:34:02.000,LIRQ,LEBL,797.550698519998,,10782.4078174115
A320,CFM56-5B4/P,PAX,EC-JZI,180,0,Unknown,2025-01-09,2025-01-09 20:46:34.436,LEMG,LEBB,749.082899877611,792.460285340274,10684.7300675281
A319,CFM56-5B6/3,PAX,EC-MIR,144,0,VY6209,2025-01-14,2025-01-14 19:59:25.000,EGKK,LIRQ,1180.37841151252,1270.38070744626,14057.8131679658
A320,V2527-A5,PAX,EC-LRY,180,0,VY3933,2025-01-23,2025-01-23 14:35:12.000,LEPA,LEBB,628.755145736324,666.581219151485,9510.6428720593
A320,CFM56-5B4/3,PAX,EC-MAO,180,0,VY8466,2025-01-17,2025-01-17 11:04:31.000,LEBL,LPPT,994.000333103748,1060.27051249615,13188.2983519836
A319,CFM56-5B6/P,PAX,EC-NGB,144,0,VY1501,2025-01-27,2025-01-27 10:45:32.000,LEMD,LIRQ,1270.90161400854,1338.72262753381,14651.8817854683
A319,CFM56-5B6/P,PAX,EC-MKV,144,0,VY6207,2025-01-04,2025-01-04 16:14:49.000,EGKK,LIRQ,1180.37841151252,1322.80151525899,14507.3786082379
A320,CFM56-5B4/3,PAX,EC-LOC,180,0,Unknown,2025-01-11,2025-01-11 06:33:41.000,LEBL,LKPR,1358.02887318779,1514.21465383099,17418.465453305
A20N,PW1127G-JM,PAX,EC-NDA,186,0,VY2472,2025-01-15,2025-01-15 05:54:01.000,LEBL,GCRR,1974.12624234143,2021.83067100933,17613.8430292413
A321,V2533-A5,PAX,EC-MHA,220,0,VY9434,2025-01-11,2025-01-11 17:39:47.000,LFPO,LIMC,590.038329664742,741.467478821271,11667.0532782957
